Facility.ID,Jurisdiction,State,Name,Date,source,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Staff.Tested,Residents.Negative,Staff.Negative,Residents.Pending,Staff.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Staff.Active,Population.Feb20,Residents.Population,Residents.Tested,Residents.Vadmin,Staff.Population,Staff.Vadmin,Address,Zipcode,City,County,Latitude,Longitude,County.FIPS,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,BJS.ID,Source.Population.Feb20,Source.Capacity,Website,ICE.Field.Office,Notes,V1,Website.y,Web.Group,Residents.Vaccinated,Staff.Vaccinated,Community.Active
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-02,https://www.cdcr.ca.gov/covid19/updates/,821,273,1,NA,804,269,NA,NA,NA,NA,NA,NA,NA,NA,15,4,2814,2242,NA,NA,1315,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1365,598,178
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-05,https://www.cdcr.ca.gov/covid19/updates/,810,273,1,NA,804,269,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2814,2244,NA,NA,1318,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1381,596,183
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-07,https://www.cdcr.ca.gov/covid19/updates/,808,273,1,NA,805,269,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2814,2265,NA,NA,1322,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1401,597,199
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-09,https://www.cdcr.ca.gov/covid19/updates/,808,273,1,NA,806,269,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2293,NA,NA,1322,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1406,597,191
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-11,https://www.cdcr.ca.gov/covid19/updates/,808,273,1,NA,806,269,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2299,NA,NA,1320,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1406,597,217
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-12,https://www.cdcr.ca.gov/covid19/updates/,808,273,1,NA,806,269,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2296,NA,NA,1320,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,1410,597,212
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-14,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2319,NA,NA,1321,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2555,1136,227
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-16,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2366,NA,NA,1322,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2581,1136,236
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-18,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2356,NA,NA,1324,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2593,1159,247
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-19,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2344,NA,NA,1324,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2675,1159,243
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-21,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2369,NA,NA,1325,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2758,1163,233
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-23,https://www.cdcr.ca.gov/covid19/updates/,808,277,1,NA,806,271,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2814,2381,NA,NA,1326,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2825,1163,223
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-26,https://www.cdcr.ca.gov/covid19/updates/,808,278,1,NA,806,273,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2356,NA,NA,1324,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2842,1189,189
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-28,https://www.cdcr.ca.gov/covid19/updates/,809,278,1,NA,806,273,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2814,2376,NA,NA,1328,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2889,1190,160
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-04-30,https://www.cdcr.ca.gov/covid19/updates/,809,278,1,NA,806,273,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2814,2402,NA,NA,1328,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2929,1190,152
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-05,https://www.cdcr.ca.gov/covid19/updates/,809,279,1,NA,806,274,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2814,2418,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2928,1186,117
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-07,https://www.cdcr.ca.gov/covid19/updates/,809,279,1,NA,806,274,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2814,2408,NA,NA,1328,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2925,1190,114
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-09,https://www.cdcr.ca.gov/covid19/updates/,809,280,1,NA,806,275,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2814,2405,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2928,1191,101
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-10,https://www.cdcr.ca.gov/covid19/updates/,809,280,1,NA,806,275,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2814,2399,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2926,1191,106
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-12,https://www.cdcr.ca.gov/covid19/updates/,809,280,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2396,NA,NA,1330,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2953,1187,98
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-14,https://www.cdcr.ca.gov/covid19/updates/,809,280,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2428,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2985,1244,87
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-16,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2814,2421,NA,NA,1330,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2989,1244,81
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-17,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2814,2418,NA,NA,1330,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,2985,1244,83
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-19,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2814,2431,NA,NA,1330,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3056,1252,83
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-21,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,275,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2814,2453,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3080,1273,73
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-23,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,277,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2454,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3104,1286,73
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-24,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,277,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2450,NA,NA,1330,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3101,1286,71
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-26,https://www.cdcr.ca.gov/covid19/updates/,809,282,1,NA,807,277,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2814,2438,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3167,1302,68
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-30,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2437,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3223,1319,64
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-05-31,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2434,NA,NA,1331,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3221,1319,63
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-02,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2415,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3250,1320,62
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-04,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2440,NA,NA,1329,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3258,1320,63
112,state,California,CENTRAL CALIFORNIA WOMENS FACILITY,2021-06-06,https://www.cdcr.ca.gov/covid19/updates/,809,291,1,NA,807,287,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2814,2437,NA,NA,1328,NA,23370 ROAD 22,93610,CHOWCHILLA,Madera,37.09368073,-120.1527098,06039,10000801,state,Prison,Max/Min,Adult,Female,FALSE,NA,2004,050000000075700000000,Public Records,Public Records,NA,NA,NA,NA,https://www.cdcr.ca.gov/covid19/population-status-tracking/,Prison,3264,1320,68
